subscription_tier,count
ULTIMATE_MONTHLY,1
CANCELLED_ULTIMATE_MONTHLY,2
ULTIMATE_LIFETIME,1
PRO_YEARLY,5
CANCELLED_PLUS_YEARLY,5
CANCELLED_PRO_YEARLY,2
PRO_MONTHLY,8
ULTIMATE_YEARLY,2
FREE,4353
INTENDED,73
PLUS_MONTHLY,7
PLUS_YEARLY,5
CANCELLED_PLUS_MONTHLY,17
CANCELLED_PRO_MONTHLY,20
